"genes","logFC","logCPM","PValue","FDR"
"SH3BP4",0.48608040034361,4.4750741402214,0.000143749332370279,0.00052719510810888
"TOMM70",-0.195015926575431,6.99235050164147,0.00014427544134232,0.000528914455532547
"VAMP3",-0.170843946960404,6.29910312468026,0.000144484818351982,0.000529471757922646
"SPATA20",-0.377748533766069,5.36964698836737,0.000144737515587862,0.000530187304123634
"ZNF839",-0.284678332668208,3.87461726077774,0.000145015540371597,0.000530995023074262
"MAT2A",-0.353061174215119,8.04738915305621,0.000145334188276941,0.000531950789843157
"ZNF671",-0.400707727847796,3.2218229476899,0.000145470804584104,0.000532239792753016
"TRAP1",-0.259852825753115,6.87791116096424,0.000145764019260344,0.000533101292310713
"GNG5",-0.232062482373305,5.89226181959712,0.000147354852823972,0.000538705998581422
"DAAM2",0.457370687054879,6.44209450234527,0.00014770470590594,0.000539771235240591
"ZMAT3",0.336010596925522,4.04025184425825,0.000147850942114501,0.000540091826932711
"UQCC3",-0.351393413679831,2.92166234267846,0.000148114763139026,0.00054073318192351
"EFCAB2",-0.339392327368104,3.87788858121473,0.000148143669925745,0.00054073318192351
"DDX6",-0.14774147307157,6.91804978715289,0.00014876191222148,0.000542775182496634
"NABP1",0.557865372139598,3.21722289681028,0.000149089702434682,0.000543756239895121
"DNAJB5",-0.452007974134229,7.32865690577563,0.000149290663368144,0.000544274136473672
"PALB2",0.183137570477569,2.90430978460792,0.000149653972561544,0.000545383269133679
"ZSWIM8",0.16784159291282,6.15775173740007,0.000150449059175435,0.000548064429853369
"ZNF589",-0.393587995970008,3.65052143608576,0.00015241198320965,0.000554996061936206
"THADA",0.21775983877216,4.63572526246852,0.000153821481809332,0.00055990776757963
"CX3CL1",-0.625876935810031,4.40482287691119,0.000153886035476871,0.000559921952497829
"RNF122",-0.417046697053165,4.62467367412125,0.00015470265510786,0.000562671477265823
"STRADB",-0.303162627522098,6.26579745767383,0.000155652883054633,0.000565904593728758
"COQ8B",0.281772321187445,3.88783616282335,0.000155918005023073,0.000566645316680308
"TNS1",0.31316848650894,9.62658894880312,0.000156475158773104,0.00056844635601516
"WTAP",0.205998111153679,6.56334992704825,0.000157271796822049,0.000571115639836481
"INPP5K",0.197704634964055,5.61047510268918,0.000157543594310243,0.000571877671678273
"COBL",0.362452259183826,7.27395642885518,0.00015761450710027,0.000571910186730578
"SPTB",0.392131134736328,8.96936599117216,0.000157708451444449,0.00057202621425686
"GNB2",0.239830508517993,6.53136516087077,0.000157803894555624,0.000572147584698729
"NONO",0.17928099025847,7.04537161223608,0.000158616662018356,0.000574868632544735
"GALNT18",0.382612640599179,3.53516149486441,0.000159102448664653,0.000576402944907147
"STXBP4",0.232125808259196,1.9696656747488,0.000161746590380116,0.000585752363985426
"CAB39",-0.297153289201449,7.85221882961142,0.000162176005903892,0.000587077141372088
"ECE1",0.398666756299966,5.72861045152339,0.000162752861672033,0.000588934404584295
"SLMAP",-0.307392834980294,6.88870020392077,0.00016554310767353,0.000598796405538541
"ABCF3",-0.160244289393921,6.09384076158796,0.000165655738139431,0.000598842538743621
"GPR107",0.168920200315144,5.99021587310654,0.00016568560762119,0.000598842538743621
"GART",0.164685601543573,5.38454729895151,0.000165916939413482,0.000599443940401506
"GCDH",-0.281271315638532,4.62430224250703,0.0001667971006849,0.000602388120666005
"EDNRB",0.531225653919265,3.97555456571976,0.000167711844682939,0.000605454844844823
"MYH10",-0.628793572119961,4.73411835858312,0.000169123695150751,0.000610313068778962
"MGLL",-0.370067022256719,6.80379987065483,0.000170717850916581,0.000615825119894864
"BACE1",0.22967420195504,4.83515782941885,0.000171067844504928,0.000616846590869138
"ITGA7",-0.344183569445274,8.5097508100012,0.000171718586652139,0.000618951297690705
"EARS2",-0.217516190915914,4.76994755516792,0.000172741047966992,0.000622393682194887
"ZNF335",0.201434581279335,5.01624224299825,0.00017285368956951,0.000622556538593891
"SENP5",0.168207054997084,5.07341808098663,0.00017487236421191,0.000629581432932972
"XIRP1",-0.828670201349673,9.67219448551591,0.000176516148261804,0.000635251682107101
"KCTD18",0.17546974914438,3.76026384776287,0.000178634668106738,0.000642625339553118
"CKB",-0.733000371819358,6.38475200429232,0.000178720366592534,0.000642683172581098
"STAU1",-0.179634652276053,6.57833091869768,0.000178862120284581,0.000642942458079036
"IDS",-0.218267782658998,5.64183607786141,0.000179541695350242,0.000645134055966555
"HIP1R",0.347304195702365,4.0996649050863,0.000179896740683035,0.000646158293091477
"TROVE2",0.211180152883321,4.79869140267158,0.000180024689592884,0.000646366359250063
"ADAMTSL3",-0.616145698495966,3.00003677366656,0.000180643262328818,0.000648335130076717
"DHX33",0.225958018720378,4.42303849490516,0.000180857471643582,0.000648851659829733
"PEX16",0.269739299455067,3.50750686643966,0.000181070409968179,0.000649363230153949
"CASK",0.260606761114183,3.60970022927571,0.000181894509982092,0.000652065328794057
"FAM126B",-0.288848669670559,4.1149959823593,0.000182425020739081,0.000653713263370518
"C1orf27",0.211480605720801,4.20471346895311,0.000184631106691418,0.000661361950278804
"SEMA5A",-0.597407942392535,2.87401086740037,0.000184965525542099,0.000662300833527166
"SGK1",-0.496409764373897,5.46703244620908,0.000185036707796183,0.000662300833527166
"FAM228B",-0.347993596165211,2.81342503912966,0.000185370333011416,0.000663237807762938
"CEP112",-0.332657263516665,4.06555737490708,0.000185664613177332,0.000664033337559068
"AGPAT2",0.613313126657153,4.70723429265726,0.000185985173618094,0.000664922206688081
"MPDU1",0.255214129558063,3.99352721694365,0.000186999150773458,0.000668087225459795
"PPP2R1A",-0.182701282171037,8.05538271934027,0.000187015208600164,0.000668087225459795
